country,iso3,who_region,year,physicians_per_10k,nurses_per_10k,hospital_beds_per_10k,life_expectancy,ncd_mortality_pct,uhc_service_coverage
United States,USA,Americas,2018,38.9,81.3,53.9,80.9,11.9,88.1
United States,USA,Americas,2019,43.5,84.8,69.3,80.2,9.8,86.5
United States,USA,Americas,2020,29.1,90.9,93.2,82.4,9.7,87.9
United States,USA,Americas,2021,42.7,81.8,109.6,83.1,10.1,83.1
United States,USA,Americas,2022,45.5,98.8,34.7,80.8,12.0,88.8
Canada,CAN,Americas,2018,41.7,116.5,81.3,83.9,10.5,86.6
Canada,CAN,Americas,2019,42.4,111.4,115.5,82.4,11.7,80.9
Canada,CAN,Americas,2020,32.5,95.5,33.4,81.1,9.2,84.1
Canada,CAN,Americas,2021,39.7,99.7,63.9,81.1,9.8,92.4
Canada,CAN,Americas,2022,40.2,112.5,43.0,83.3,9.3,86.2
United Kingdom,GBR,Europe,2018,44.8,112.0,83.5,82.7,12.4,89.3
United Kingdom,GBR,Europe,2019,32.2,82.1,58.1,81.2,9.7,91.7
United Kingdom,GBR,Europe,2020,43.5,96.7,93.8,81.8,12.5,86.3
United Kingdom,GBR,Europe,2021,33.4,93.8,83.9,81.4,11.0,92.0
United Kingdom,GBR,Europe,2022,36.0,93.0,129.7,82.4,9.0,82.2
Germany,DEU,Europe,2018,29.9,111.4,108.2,81.7,9.3,84.6
Germany,DEU,Europe,2019,45.2,107.0,127.0,83.5,8.9,89.0
Germany,DEU,Europe,2020,40.2,107.8,53.0,82.8,9.2,86.0
Germany,DEU,Europe,2021,36.6,129.2,117.0,81.4,10.7,83.3
Germany,DEU,Europe,2022,44.7,125.5,56.3,83.0,11.0,83.4
France,FRA,Europe,2018,41.0,107.0,106.8,82.1,9.0,83.9
France,FRA,Europe,2019,28.6,127.0,117.3,83.4,10.1,81.1
France,FRA,Europe,2020,43.5,128.3,34.0,82.1,9.1,89.9
France,FRA,Europe,2021,41.9,87.9,74.9,82.5,9.8,91.7
France,FRA,Europe,2022,36.4,92.6,81.6,83.3,9.4,85.3
Japan,JPN,Western Pacific,2018,44.9,112.5,71.0,82.1,9.5,82.7
Japan,JPN,Western Pacific,2019,34.0,109.9,49.2,81.0,9.2,88.0
